Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
15,Lab2_Timing_1,AY_cellRise,17.83e-12,,,
15,Lab2_Timing_1,AY_fallTransistion,70.44e-12,,,
15,Lab2_Timing_1,AY_riseTransistion,29.31e-12,,,
15,Lab2_Timing_1,BfallTime,0,,,
15,Lab2_Timing_1,BriseTime,0,,,
15,Lab2_Timing_1,BY_cellFall,45.68e-12,,,
15,Lab2_Timing_1,BY_cellRise,19e-12,,,
15,Lab2_Timing_1,BY_fallTransistion,70.44e-12,,,
15,Lab2_Timing_1,BY_riseTransistion,29.31e-12,,,
"Parameters: Cout=1.189f, transition=40p",,,,,,
16,Lab2_Timing_1,/A,,,,
16,Lab2_Timing_1,/B,,,,
16,Lab2_Timing_1,/Y,,,,
16,Lab2_Timing_1,AfallTime,0,,,
16,Lab2_Timing_1,AriseTime,0,,,
16,Lab2_Timing_1,AY_cellFall,43.06e-12,,,
16,Lab2_Timing_1,AY_cellRise,18.4e-12,,,
16,Lab2_Timing_1,AY_fallTransistion,69.8e-12,,,
16,Lab2_Timing_1,AY_riseTransistion,29.13e-12,,,
16,Lab2_Timing_1,BfallTime,0,,,
16,Lab2_Timing_1,BriseTime,0,,,
16,Lab2_Timing_1,BY_cellFall,45.95e-12,,,
16,Lab2_Timing_1,BY_cellRise,19.59e-12,,,
16,Lab2_Timing_1,BY_fallTransistion,69.8e-12,,,
16,Lab2_Timing_1,BY_riseTransistion,29.13e-12,,,
"Parameters: Cout=1.189f, transition=60p",,,,,,
17,Lab2_Timing_1,/A,,,,
17,Lab2_Timing_1,/B,,,,
17,Lab2_Timing_1,/Y,,,,
17,Lab2_Timing_1,AfallTime,0,,,
17,Lab2_Timing_1,AriseTime,0,,,
17,Lab2_Timing_1,AY_cellFall,43.69e-12,,,
17,Lab2_Timing_1,AY_cellRise,19.47e-12,,,
17,Lab2_Timing_1,AY_fallTransistion,70.1e-12,,,
17,Lab2_Timing_1,AY_riseTransistion,29.45e-12,,,
17,Lab2_Timing_1,BfallTime,0,,,
17,Lab2_Timing_1,BriseTime,0,,,
17,Lab2_Timing_1,BY_cellFall,46.75e-12,,,
17,Lab2_Timing_1,BY_cellRise,20.71e-12,,,
17,Lab2_Timing_1,BY_fallTransistion,70.1e-12,,,
17,Lab2_Timing_1,BY_riseTransistion,29.45e-12,,,
"Parameters: Cout=1.189f, transition=80p",,,,,,
18,Lab2_Timing_1,/A,,,,
18,Lab2_Timing_1,/B,,,,
18,Lab2_Timing_1,/Y,,,,
18,Lab2_Timing_1,AfallTime,0,,,
18,Lab2_Timing_1,AriseTime,0,,,
18,Lab2_Timing_1,AY_cellFall,44.28e-12,,,
